gene_oid	gene_length	feature_type	start_coord	end_coord
2710194519	556	cleavage	21	22
2710194653	437	cleavage	20	21
2710194699	212	cleavage	21	22
2710194700	450	cleavage	23	24
2710194705	325	cleavage	24	25
2710194747	986	cleavage	26	27
2710194758	280	cleavage	23	24
2710194765	190	cleavage	22	23
2710194766	258	cleavage	25	26
2710194798	154	cleavage	26	27
2710194812	460	cleavage	18	19
2710194820	150	cleavage	21	22
2710194828	95	cleavage	23	24
2710194835	320	cleavage	23	24
2710194860	645	cleavage	21	22
2710194874	260	cleavage	21	22
2710194898	153	cleavage	21	22
2710194951	425	cleavage	19	20
2710194954	598	cleavage	31	32
2710194999	538	cleavage	21	22
2710195050	308	cleavage	22	23
2710195058	204	cleavage	18	19
2710195059	263	cleavage	23	24
2710195068	325	cleavage	23	24
2710195073	656	cleavage	19	20
2710195074	687	cleavage	20	21
2710195089	516	cleavage	27	28
2710195150	565	cleavage	23	24
2710195167	417	cleavage	22	23
2710195187	287	cleavage	30	31
2710195208	1237	cleavage	28	29
2710195262	653	cleavage	23	24
2710195263	229	cleavage	27	28
2710195338	311	cleavage	22	23
2710195364	206	cleavage	22	23
2710195388	364	cleavage	21	22
2710195437	212	cleavage	19	20
2710195538	449	cleavage	24	25
2710195591	200	cleavage	18	19
2710195633	168	cleavage	28	29
2710195659	196	cleavage	24	25
2710195677	258	cleavage	19	20
2710195682	1450	cleavage	31	32
2710195712	399	cleavage	24	25
2710195749	368	cleavage	21	22
2710195771	302	cleavage	20	21
2710195916	245	cleavage	28	29
2710195953	306	cleavage	23	24
2710195966	111	cleavage	24	25
2710195969	38	cleavage	17	18
2710195990	321	cleavage	22	23
2710195999	171	cleavage	21	22
2710196012	379	cleavage	40	41
2710196016	253	cleavage	21	22
2710196017	394	cleavage	27	28
2710196070	149	cleavage	25	26
2710196125	260	cleavage	24	25
2710196135	312	cleavage	25	26
2710196166	276	cleavage	23	24
2710196168	161	cleavage	27	28
2710196192	331	cleavage	22	23
2710196209	274	cleavage	18	19
2710196235	319	cleavage	19	20
2710196238	368	cleavage	23	24
2710196245	459	cleavage	26	27
2710196248	165	cleavage	26	27
2710196252	188	cleavage	28	29
2710196254	255	cleavage	27	28
2710196285	547	cleavage	28	29
2710196309	196	cleavage	26	27
2710196321	531	cleavage	18	19
2710196323	70	cleavage	24	25
2710196388	363	cleavage	20	21
2710196573	960	cleavage	26	27
2710196589	260	cleavage	24	25
2710196616	249	cleavage	25	26
