gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2710194482	159	2	159	1.2e-73	231.9	TIGR01162	phosphoribosylaminoimidazole carboxylase, PurE protein
2710194483	386	13	368	1.0e-129	418.9	TIGR01161	phosphoribosylaminoimidazole carboxylase, PurK protein
2710194484	431	1	429	0.0e+00	602.1	TIGR00928	adenylosuccinate lyase
2710194485	241	1	237	1.1e-83	266.9	TIGR00081	phosphoribosylaminoimidazole-succinocarboxamide synthase
2710194486	84	2	80	1.6e-36	110.6	TIGR00302	phosphoribosylformylglycinamidine synthase, purS protein
2710194487	228	1	220	1.2e-100	321.6	TIGR01737	phosphoribosylformylglycinamidine synthase I
2710194488	744	23	740	0.0e+00	1031.7	TIGR01736	phosphoribosylformylglycinamidine synthase II
2710194489	473	12	456	0.0e+00	568.9	TIGR01134	amidophosphoribosyltransferase
2710194490	342	3	335	0.0e+00	470.1	TIGR00878	phosphoribosylaminoimidazole synthetase
2710194491	191	2	190	7.9e-73	230.1	TIGR00639	phosphoribosylglycinamide formyltransferase, formyltetrahydrofolate-dependent
2710194492	511	3	511	0.0e+00	768.7	TIGR00355	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
2710194493	424	1	420	0.0e+00	540.7	TIGR00877	phosphoribosylamine--glycine ligase
2710194495	579	26	574	3.7e-70	222.8	TIGR01178	adenine deaminase
2710194497	99	7	94	6.1e-54	166.7	TIGR02531	TrpR-related protein YerC/YecD
2710194498	228	8	224	1.1e-80	256.3	TIGR01768	geranylgeranylglyceryl phosphate synthase family protein
2710194499	741	8	739	0.0e+00	1201.5	TIGR01073	ATP-dependent DNA helicase PcrA
2710194500	668	13	662	0.0e+00	911.8	TIGR00575	DNA ligase, NAD-dependent
2710194503	529	21	529	0.0e+00	808.1	TIGR01344	malate synthase A
2710194504	426	9	253	2.9e-111	358.4	TIGR01346	isocitrate lyase
2710194505	344	1	344	0.0e+00	450.2	TIGR01850	N-acetyl-gamma-glutamyl-phosphate reductase, common form
2710194506	409	13	409	0.0e+00	524	TIGR00120	glutamate N-acetyltransferase/amino-acid acetyltransferase
2710194507	269	15	242	3.4e-81	258.2	TIGR00761	acetylglutamate kinase
2710194508	386	3	378	0.0e+00	485.8	TIGR00707	transaminase, acetylornithine/succinylornithine family
2710194509	354	3	346	2.8e-130	420.4	TIGR01368	carbamoyl-phosphate synthase, small subunit
2710194510	1022	2	1008	0.0e+00	1365.7	TIGR01369	carbamoyl-phosphate synthase, large subunit
2710194511	317	18	317	0.0e+00	438.8	TIGR00658	ornithine carbamoyltransferase
2710194513	354	4	160	1.8e-41	127.7	TIGR03082	membrane protein AbrB duplication
2710194516	96	4	96	2.8e-38	116.4	TIGR00135	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit
2710194517	486	11	479	0.0e+00	673.9	TIGR00132	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit
2710194518	476	1	474	0.0e+00	601.6	TIGR00133	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit
2710194527	304	1	294	2.4e-119	383.7	TIGR00147	lipid kinase, YegS/Rv2252/BmrU family
2710194531	458	21	449	0.0e+00	596	TIGR00479	23S rRNA (uracil-5-)-methyltransferase RumA
2710194532	76	2	50	1.0e-18	53.7	TIGR01764	DNA binding domain, excisionase family
2710194533	65	2	63	2.4e-39	119.5	TIGR03833	conserved hypothetical protein
2710194535	334	1	333	1.6e-104	335.3	TIGR00724	biotin-dependent carboxylase uncharacterized domain
2710194536	239	8	225	2.0e-75	238.7	TIGR00370	sensor histidine kinase inhibitor, KipI family
2710194540	177	12	171	7.8e-29	86.5	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2710194550	198	6	187	8.5e-60	187.9	TIGR02357	energy-coupled thiamine transporter ThiT
2710194559	214	18	211	1.4e-32	98.9	TIGR00758	uracil-DNA glycosylase, family 4
2710194561	485	13	447	0.0e+00	485.5	TIGR00835	amino acid carrier protein
2710194582	532	11	502	1.5e-90	290.2	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2710194583	441	7	435	0.0e+00	632.2	TIGR02155	phenylacetate-CoA ligase
2710194584	322	19	314	0.0e+00	450.7	TIGR02156	phenylacetate-CoA oxygenase, PaaG subunit
2710194585	118	9	97	1.9e-36	110.3	TIGR02157	phenylacetate-CoA oxygenase, PaaH subunit
2710194586	272	25	272	7.2e-74	234.6	TIGR02158	phenylacetate-CoA oxygenase, PaaI subunit
2710194587	159	12	155	7.4e-58	181.1	TIGR02159	phenylacetate-CoA oxygenase, PaaJ subunit
2710194588	102	1	102	1.2e-38	118.1	TIGR02118	conserved hypothetical protein
2710194593	401	2	399	0.0e+00	577.4	TIGR02430	3-oxoadipyl-CoA thiolase
2710194593	401	6	397	0.0e+00	477.8	TIGR01930	acetyl-CoA acetyltransferases
2710194595	291	5	288	1.6e-109	351.7	TIGR02277	phenylacetic acid degradation operon negative regulatory protein PaaX
2710194602	354	6	347	0.0e+00	470.9	TIGR03181	pyruvate dehydrogenase E1 component, alpha subunit
2710194605	475	9	466	8.8e-129	416.1	TIGR01350	dihydrolipoamide dehydrogenase
2710194606	371	19	371	0.0e+00	469	TIGR01263	4-hydroxyphenylpyruvate dioxygenase
2710194607	369	8	362	3.2e-103	331.2	TIGR01141	histidinol-phosphate aminotransferase
2710194610	381	93	381	1.1e-23	69.6	TIGR01015	homogentisate 1,2-dioxygenase
2710194611	299	5	285	1.9e-67	214.3	TIGR01121	D-amino acid aminotransferase
2710194611	299	7	298	1.8e-107	345.9	TIGR01122	branched-chain amino acid aminotransferase, group I
2710194612	555	14	554	0.0e+00	808.6	TIGR00110	dihydroxy-acid dehydratase
2710194613	573	18	572	0.0e+00	879.3	TIGR00118	acetolactate synthase, large subunit, biosynthetic type
2710194614	174	2	160	8.4e-67	210.1	TIGR00119	acetolactate synthase, small subunit
2710194615	343	15	328	0.0e+00	473.8	TIGR00465	ketol-acid reductoisomerase
2710194616	516	3	498	0.0e+00	749.4	TIGR00973	2-isopropylmalate synthase, bacterial type
2710194617	370	4	352	0.0e+00	533.2	TIGR00169	3-isopropylmalate dehydrogenase
2710194618	471	2	465	0.0e+00	772.7	TIGR00170	3-isopropylmalate dehydratase, large subunit
2710194619	201	2	187	4.2e-78	247.6	TIGR00171	3-isopropylmalate dehydratase, small subunit
2710194620	327	20	326	1.2e-127	412	TIGR01127	threonine ammonia-lyase, medium form
2710194622	353	7	323	6.4e-103	330.4	TIGR00260	threonine synthase
2710194623	311	9	302	3.7e-80	255	TIGR00191	homoserine kinase
2710194625	438	86	209	2.1e-16	46.4	TIGR00229	PAS domain S-box
2710194632	207	2	205	1.1e-79	253.3	TIGR03035	arylformamidase
2710194633	425	10	410	6.6e-129	416.2	TIGR01814	kynureninase
2710194636	440	17	430	3.8e-113	364.2	TIGR00700	4-aminobutyrate aminotransferase, prokaryotic type
2710194638	447	4	446	0.0e+00	495.6	TIGR00791	gluconate transporter
2710194639	507	4	505	0.0e+00	805.5	TIGR01314	gluconate kinase, FGGY type
2710194640	239	1	236	1.2e-75	240.4	TIGR01033	DNA-binding regulatory protein, YebC/PmpR family
2710194646	508	52	499	7.0e-112	360.3	TIGR00842	choline/carnitine/betaine transport
2710194656	455	3	433	0.0e+00	601.3	TIGR03356	beta-galactosidase
2710194662	595	11	593	0.0e+00	686.8	TIGR02290	oligoendopeptidase, pepF/M3 family
